Model,Fold,N,Pos,Neg,AUROC,AUPR,F1,MCC,Accuracy,Threshold_protocol
IRESfinder,0,6315,1238,5077,0.620293,0.292808,0.353120,0.122173,0.527158,fixed_0.5
IRESfinder,1,6315,1238,5077,0.605866,0.270852,0.344649,0.106389,0.520032,fixed_0.5
IRESfinder,2,6315,1238,5077,0.593105,0.262990,0.339220,0.097072,0.520032,fixed_0.5
UTR-LM,0,6315,1238,5077,0.767661614,0.588166008,0.525528169,0.425021242,0.829295329,validation_selected
UTR-LM,1,6315,1238,5077,0.765827739,0.585873073,0.515955056,0.417957220,0.829453682,validation_selected
UTR-LM,2,6315,1238,5077,0.758097512,0.566802796,0.507053942,0.391142993,0.811876485,validation_selected_log_recovery
DeepIRES,0,6315,1238,5077,0.772500583,0.593269091,0.541609195,0.454795288,0.842121932,validation_selected
DeepIRES,1,6315,1238,5077,0.787469735,0.616050018,0.561967833,0.487288286,0.853365004,validation_selected
DeepIRES,2,6315,1238,5077,0.780641529,0.604038738,0.549227373,0.454690233,0.838321457,validation_selected
RNA-FM,0,6315,1238,5077,0.760842158,0.581524851,0.522569444,0.418511442,0.825811560,validation_selected
RNA-FM,1,6315,1238,5077,0.759064685,0.551612679,0.496765847,0.385545788,0.815201900,validation_selected
RNA-FM,2,6315,1238,5077,0.754452195,0.553000298,0.502548020,0.377034865,0.799049881,validation_selected
StructIRES,0,6315,1238,5077,0.792300272,0.641479486,0.574690771,0.504457546,0.858432304,validation_selected
StructIRES,1,6315,1238,5077,0.796737830,0.649300253,0.592775854,0.539181473,0.869675376,validation_selected
StructIRES,2,6315,1238,5077,0.797417031,0.647554353,0.584861307,0.513481247,0.860174188,validation_selected
